Rank,Name,Best,Worst,Avg,Std Dev,Tiers
1,Stephen Gostkowski NE,1.0,3.0,1.4,0.7,1
2,Greg Zuerlein LAR,1.0,8.0,2.7,1.3,1
3,Justin Tucker BAL,1.0,13.0,2.7,1.7,1
4,Matt Bryant ATL,2.0,9.0,4.6,1.7,1
5,Wil Lutz NO,3.0,12.0,5.9,1.7,1
6,Jake Elliott PHI,1.0,18.0,7.3,2.8,2
7,Matt Prater DET,4.0,18.0,7.7,2.6,2
8,Chris Boswell PIT,3.0,27.0,9.4,3.9,2
9,Harrison Butker KC,2.0,19.0,9.3,3.4,2
10,Dan Bailey DAL,3.0,29.0,10.1,4.2,2
11,Mason Crosby GB,5.0,28.0,10.9,3.4,2
12,Robbie Gould SF,4.0,28.0,13.1,4.3,3
13,Adam Vinatieri IND,9.0,25.0,14.1,3.5,3
14,Graham Gano CAR,9.0,23.0,14.1,2.6,3
15,Ryan Succop TEN,3.0,26.0,15.2,4.1,3
16,Kai Forbath MIN,4.0,34.0,14.6,4.7,3
17,Brandon McManus DEN,1.0,25.0,16.5,3.8,4
18,Josh Lambo JAC,8.0,25.0,17.0,4.2,4
19,Ka'imi Fairbairn HOU,11.0,24.0,18.0,3.1,4
20,Cairo Santos NYJ,2.0,32.0,20.2,5.9,4
21,Steven Hauschka BUF,4.0,31.0,20.4,4.6,5
22,Caleb Sturgis LAC,12.0,31.0,19.9,4.9,5
23,Daniel Carlson MIN,10.0,27.0,17.7,4.7,5
24,Phil Dawson ARI,5.0,30.0,21.2,4.8,5
25,Blair Walsh FA,1.0,35.0,18.9,9.7,5
