Rank,Name,Pos,Best,Worst,Avg,Std Dev,Tiers
1,Todd Gurley LAR,RB1,1.0,6.0,1.5,0.9,1
2,Le'Veon Bell PIT,RB2,1.0,6.0,2.4,1.2,1
3,Ezekiel Elliott DAL,RB3,1.0,11.0,3.5,1.6,1
4,David Johnson ARI,RB4,1.0,8.0,3.9,1.5,1
5,Antonio Brown PIT,WR1,1.0,14.0,4.7,1.9,1
6,DeAndre Hopkins HOU,WR2,4.0,32.0,7.6,3.6,2
7,Alvin Kamara NO,RB5,3.0,15.0,8.3,2.7,2
8,Saquon Barkley NYG,RB6,3.0,17.0,9.1,3.5,2
9,Odell Beckham Jr. NYG,WR3,3.0,20.0,9.4,2.6,2
10,Kareem Hunt KC,RB7,5.0,20.0,10.6,3.6,2
11,Julio Jones ATL,WR4,7.0,19.0,11.6,2.7,3
12,Leonard Fournette JAC,RB8,5.0,24.0,12.4,3.4,3
13,Melvin Gordon LAC,RB9,6.0,20.0,12.6,3.3,3
14,Michael Thomas NO,WR5,7.0,26.0,13.9,2.9,3
15,Dalvin Cook MIN,RB10,6.0,34.0,15.2,4.5,4
16,Keenan Allen LAC,WR6,9.0,26.0,15.5,3.3,4
17,A.J. Green CIN,WR7,10.0,22.0,16.9,2.9,4
18,Davante Adams GB,WR8,10.0,41.0,18.3,4.2,4
19,Devonta Freeman ATL,RB11,12.0,27.0,18.8,3.2,4
20,Mike Evans TB,WR9,13.0,45.0,23.3,6.1,5
21,Jerick McKinnon SF,RB12,14.0,44.0,24.4,5.3,5
22,Jordan Howard CHI,RB13,15.0,83.0,25.1,8.8,5
23,Rob Gronkowski NE,TE1,17.0,42.0,25.4,4.5,5
24,Doug Baldwin SEA,WR10,15.0,48.0,26.5,6.0,5
25,Christian McCaffrey CAR,RB14,17.0,46.0,27.5,5.3,5
26,T.Y. Hilton IND,WR11,18.0,66.0,29.0,9.1,6
27,Joe Mixon CIN,RB15,19.0,48.0,30.0,6.7,6
28,LeSean McCoy BUF,RB16,10.0,94.0,30.4,19.0,6
29,Travis Kelce KC,TE2,21.0,59.0,31.0,8.1,6
30,Adam Thielen MIN,WR12,13.0,53.0,31.2,7.5,6
31,Tyreek Hill KC,WR13,10.0,73.0,33.0,9.3,6
32,Stefon Diggs MIN,WR14,20.0,61.0,36.0,7.9,7
33,Kenyan Drake MIA,RB17,11.0,88.0,38.6,13.4,7
34,Alex Collins BAL,RB18,23.0,95.0,39.6,12.7,7
35,Larry Fitzgerald ARI,WR15,25.0,60.0,40.3,7.5,7
36,Amari Cooper OAK,WR16,24.0,85.0,40.9,9.2,8
37,Alshon Jeffery PHI,WR17,25.0,56.0,41.5,6.5,8
38,Derrius Guice WAS,RB19,20.0,68.0,41.9,11.4,8
39,Allen Robinson CHI,WR18,20.0,124.0,42.8,14.1,8
40,Zach Ertz PHI,TE3,21.0,91.0,43.5,13.1,8
41,Aaron Rodgers GB,QB1,21.0,209.0,44.0,37.6,9
42,Demaryius Thomas DEN,WR19,18.0,73.0,44.0,9.2,9
43,Derrick Henry TEN,RB20,19.0,76.0,44.7,13.2,9
44,Jay Ajayi PHI,RB21,24.0,100.0,45.1,14.1,9
45,Josh Gordon CLE,WR20,15.0,123.0,45.8,16.9,9
46,Rashaad Penny SEA,RB22,23.0,109.0,45.9,17.4,9
47,JuJu Smith-Schuster PIT,WR21,31.0,81.0,48.8,9.2,10
48,Golden Tate DET,WR22,34.0,85.0,50.7,8.2,10
49,Marvin Jones DET,WR23,19.0,93.0,51.8,11.7,10
50,Brandin Cooks LAR,WR24,26.0,84.0,52.4,12.2,10
