Rank,Name,Best,Worst,Avg,Std Dev,Tiers
1,Todd Gurley LAR,1.0,4.0,1.5,0.7,1
2,Le'Veon Bell PIT,1.0,5.0,2.2,0.9,1
3,Ezekiel Elliott DAL,1.0,7.0,3.1,1.1,1
4,David Johnson ARI,1.0,6.0,3.4,1.0,1
5,Alvin Kamara NO,3.0,11.0,6.2,1.5,1
6,Saquon Barkley NYG,3.0,10.0,6.4,1.6,1
7,Kareem Hunt KC,5.0,12.0,7.4,1.8,1
8,Leonard Fournette JAC,4.0,14.0,8.2,1.7,1
9,Melvin Gordon LAC,5.0,12.0,8.2,1.5,1
10,Dalvin Cook MIN,5.0,19.0,9.5,2.3,2
11,Devonta Freeman ATL,8.0,15.0,11.2,1.4,2
12,Jerick McKinnon SF,10.0,20.0,13.6,2.1,2
13,Jordan Howard CHI,10.0,35.0,14.0,3.4,2
14,Christian McCaffrey CAR,11.0,22.0,15.1,2.3,2
15,LeSean McCoy BUF,8.0,39.0,16.1,7.2,2
16,Joe Mixon CIN,12.0,23.0,16.2,2.4,2
17,Kenyan Drake MIA,8.0,34.0,19.2,4.6,3
18,Alex Collins BAL,13.0,32.0,19.5,4.1,3
19,Derrius Guice WAS,12.0,30.0,20.3,3.9,3
20,Jay Ajayi PHI,13.0,40.0,21.6,4.8,3
21,Rashaad Penny SEA,13.0,43.0,21.8,5.7,3
22,Derrick Henry TEN,13.0,31.0,21.8,4.1,3
23,Lamar Miller HOU,12.0,48.0,23.9,5.4,4
24,Mark Ingram NO,15.0,33.0,24.2,3.8,4
25,Royce Freeman DEN,15.0,39.0,25.5,4.8,4
26,Ronald Jones II TB,15.0,60.0,25.8,6.3,4
27,Dion Lewis TEN,20.0,47.0,26.5,4.6,4
28,Sony Michel NE,14.0,56.0,26.9,7.0,4
29,Marshawn Lynch OAK,20.0,57.0,29.5,6.4,4
30,Tevin Coleman ATL,20.0,42.0,29.9,4.1,4
31,Marlon Mack IND,21.0,57.0,33.2,6.4,5
32,Rex Burkhead NE,19.0,54.0,34.8,6.8,5
33,Jamaal Williams GB,24.0,54.0,35.3,6.4,5
34,Isaiah Crowell NYJ,26.0,57.0,35.6,5.7,5
35,C.J. Anderson CAR,25.0,52.0,36.2,5.8,5
36,Kerryon Johnson DET,23.0,54.0,35.9,5.7,5
37,Chris Thompson WAS,26.0,54.0,36.5,5.1,5
38,Carlos Hyde CLE,20.0,75.0,37.2,8.8,5
39,Duke Johnson CLE,19.0,52.0,37.0,5.2,5
40,Tarik Cohen CHI,18.0,60.0,39.2,6.2,5
41,Nick Chubb CLE,24.0,62.0,40.5,6.4,5
42,Aaron Jones GB,33.0,65.0,44.4,7.1,6
43,Devontae Booker DEN,35.0,62.0,45.9,6.7,6
44,Bilal Powell NYJ,33.0,69.0,48.5,9.1,6
45,D'Onta Foreman HOU,29.0,69.0,48.0,7.7,6
46,Ty Montgomery GB,31.0,65.0,47.4,6.6,6
47,Giovani Bernard CIN,40.0,66.0,47.8,6.4,6
48,Theo Riddick DET,36.0,73.0,48.9,6.3,6
49,Corey Clement PHI,29.0,87.0,50.7,9.5,7
50,James White NE,33.0,64.0,50.7,6.1,7
51,LeGarrette Blount DET,26.0,81.0,53.2,9.6,7
52,Latavius Murray MIN,31.0,72.0,52.2,7.6,7
53,Chris Carson SEA,34.0,73.0,53.7,8.1,7
54,Doug Martin OAK,36.0,71.0,53.6,7.9,7
55,Chris Ivory BUF,26.0,90.0,59.5,13.2,8
56,Peyton Barber TB,42.0,82.0,55.5,8.4,8
57,Nyheim Hines IND,24.0,82.0,56.7,9.6,8
58,Matt Breida SF,38.0,85.0,55.1,8.0,8
59,Kenneth Dixon BAL,43.0,72.0,56.7,7.2,8
60,Austin Ekeler LAC,35.0,81.0,60.3,9.9,8
61,Frank Gore MIA,34.0,83.0,55.9,7.1,8
62,Jordan Wilkins IND,41.0,120.0,66.1,15.6,9
63,Javorius Allen BAL,37.0,82.0,64.6,9.2,9
64,Samaje Perine WAS,41.0,95.0,67.2,14.5,9
65,Spencer Ware KC,38.0,75.0,61.9,7.7,9
66,T.J. Yeldon JAC,42.0,84.0,65.5,9.3,9
67,Wayne Gallman NYG,40.0,99.0,72.1,11.9,9
68,Darren Sproles PHI,44.0,105.0,65.5,12.0,9
69,Ameer Abdullah DET,43.0,156.0,71.7,17.8,9
70,Jonathan Stewart NYG,49.0,87.0,64.8,7.8,9
71,Elijah McGuire NYJ,49.0,96.0,69.5,10.5,10
72,Kalen Ballage MIA,51.0,123.0,72.0,12.7,10
73,C.J. Prosise SEA,58.0,91.0,73.6,7.7,10
74,Corey Grant JAC,52.0,106.0,73.6,9.8,10
75,John Kelly LAR,55.0,95.0,74.8,8.3,10
