Rank,Name,Best,Worst,Avg,Std Dev,Tiers
1,Rob Gronkowski NE,1.0,3.0,1.2,0.5,1
2,Travis Kelce KC,1.0,3.0,2.0,0.4,1
3,Zach Ertz PHI,1.0,6.0,2.9,0.7,1
4,Greg Olsen CAR,3.0,8.0,5.3,1.2,1
5,Jimmy Graham GB,3.0,12.0,5.8,1.9,1
6,Evan Engram NYG,3.0,13.0,6.0,2.0,1
7,Delanie Walker TEN,4.0,12.0,6.8,1.6,1
8,Kyle Rudolph MIN,4.0,11.0,7.4,1.3,1
9,Trey Burton CHI,6.0,19.0,10.0,2.3,2
10,Jordan Reed WAS,4.0,21.0,10.3,2.8,2
11,Jack Doyle IND,5.0,25.0,12.9,4.1,2
12,George Kittle SF,9.0,20.0,12.9,2.7,2
13,David Njoku CLE,5.0,26.0,15.0,3.7,2
14,Tyler Eifert CIN,10.0,27.0,15.3,3.8,2
15,O.J. Howard TB,6.0,29.0,16.2,4.3,3
16,Cameron Brate TB,9.0,26.0,16.8,3.5,3
17,Eric Ebron IND,8.0,24.0,17.2,3.6,3
18,Charles Clay BUF,12.0,33.0,18.1,3.8,3
19,Jared Cook OAK,8.0,29.0,18.9,4.1,3
20,Austin Seferian-Jenkins JAC,10.0,30.0,19.0,4.6,3
21,Ricky Seals-Jones ARI,12.0,35.0,22.0,4.7,4
22,Mike Gesicki MIA,6.0,43.0,23.7,6.2,4
23,Vance McDonald PIT,11.0,38.0,22.0,4.7,4
24,Benjamin Watson NO,13.0,35.0,22.3,4.5,4
25,Austin Hooper ATL,13.0,29.0,22.1,3.4,4
26,Hayden Hurst BAL,11.0,47.0,28.0,6.0,4
27,Antonio Gates FA,17.0,59.0,34.2,10.4,5
28,Mark Andrews BAL,15.0,90.0,37.6,12.6,5
29,Luke Willson DET,17.0,44.0,30.3,5.0,5
30,Stephen Anderson HOU,17.0,114.0,36.4,13.9,5
31,Dallas Goedert PHI,17.0,59.0,36.8,8.4,5
32,Vernon Davis WAS,19.0,42.0,29.5,4.2,5
33,Tyler Kroft CIN,19.0,49.0,34.8,6.0,5
34,Ed Dickson SEA,20.0,56.0,30.7,6.4,6
35,Jake Butt DEN,20.0,52.0,31.7,5.6,6
36,Gerald Everett LAR,22.0,39.0,30.6,3.7,6
37,Ryan Griffin HOU,21.0,52.0,32.8,7.0,6
38,Adam Shaheen CHI,22.0,58.0,33.5,6.6,7
39,Virgil Green LAC,25.0,56.0,34.7,7.8,7
40,Nick Vannett SEA,26.0,51.0,35.1,5.3,7
41,Jesse James PIT,23.0,48.0,36.0,5.9,7
42,C.J. Fiedorowicz FA,23.0,54.0,37.7,11.3,7
43,Tyler Higbee LAR,28.0,50.0,38.6,5.6,7
44,Coby Fleener FA,28.0,53.0,40.4,7.9,8
45,Garrett Celek SF,29.0,52.0,41.0,6.4,8
46,Rico Gathers DAL,29.0,91.0,41.4,12.2,8
47,Jonnu Smith TEN,23.0,54.0,41.5,7.0,8
48,Clive Walford NYJ,26.0,70.0,42.1,9.5,8
49,Josh Hill NO,24.0,68.0,42.5,10.6,8
50,Blake Jarwin DAL,28.0,65.0,43.7,12.1,8
