Rank,Name,Best,Worst,Avg,Std Dev,Tiers
1,Antonio Brown PIT,1.0,4.0,1.1,0.5,1
2,DeAndre Hopkins HOU,1.0,12.0,2.3,1.5,1
3,Odell Beckham Jr. NYG,1.0,7.0,3.2,1.0,1
4,Julio Jones ATL,2.0,8.0,4.1,1.3,1
5,Michael Thomas NO,3.0,10.0,5.4,1.2,1
6,Keenan Allen LAC,3.0,10.0,6.3,1.4,1
7,A.J. Green CIN,4.0,9.0,6.9,1.0,1
8,Davante Adams GB,4.0,16.0,7.7,1.9,1
9,Mike Evans TB,5.0,18.0,10.0,2.5,2
10,Doug Baldwin SEA,6.0,20.0,11.2,2.2,2
11,T.Y. Hilton IND,8.0,27.0,11.9,3.5,2
12,Adam Thielen MIN,5.0,22.0,13.2,3.2,2
13,Tyreek Hill KC,5.0,29.0,13.8,3.8,2
14,Stefon Diggs MIN,10.0,26.0,15.1,3.4,2
15,Larry Fitzgerald ARI,10.0,28.0,16.7,3.6,2
16,Amari Cooper OAK,10.0,38.0,17.0,4.4,2
17,Alshon Jeffery PHI,11.0,24.0,17.9,3.0,3
18,Allen Robinson CHI,10.0,57.0,18.4,6.8,3
19,Demaryius Thomas DEN,7.0,28.0,18.6,3.8,3
20,Josh Gordon CLE,6.0,48.0,19.9,7.1,3
21,JuJu Smith-Schuster PIT,14.0,35.0,21.5,4.4,3
22,Golden Tate DET,15.0,33.0,21.8,3.0,3
23,Brandin Cooks LAR,10.0,35.0,22.4,5.1,3
24,Marvin Jones DET,9.0,39.0,22.7,4.5,3
25,Michael Crabtree BAL,17.0,38.0,27.3,4.4,4
26,Jarvis Landry CLE,16.0,43.0,27.8,5.8,4
27,Sammy Watkins KC,18.0,53.0,29.5,5.5,4
28,Corey Davis TEN,13.0,58.0,30.8,8.2,4
29,Chris Hogan NE,20.0,51.0,31.7,7.6,4
30,Devin Funchess CAR,20.0,47.0,31.7,5.8,4
31,Pierre Garcon SF,22.0,56.0,33.0,5.5,4
32,Robert Woods LAR,19.0,72.0,33.3,8.0,4
33,Emmanuel Sanders DEN,25.0,53.0,32.6,6.7,4
34,Cooper Kupp LAR,29.0,48.0,37.1,3.6,5
35,Robby Anderson NYJ,16.0,72.0,36.9,9.1,5
36,Devante Parker MIA,25.0,54.0,37.1,6.3,5
37,Jamison Crowder WAS,23.0,52.0,37.3,6.5,5
38,Randall Cobb GB,22.0,54.0,38.4,7.4,5
39,Marquise Goodwin SF,25.0,66.0,39.8,8.3,5
40,Will Fuller HOU,26.0,59.0,40.7,7.5,5
41,Julian Edelman NE,14.0,67.0,42.1,9.6,6
42,Sterling Shepard NYG,32.0,58.0,43.2,5.7,6
43,Jordy Nelson OAK,24.0,62.0,43.1,8.4,6
44,Rishard Matthews TEN,21.0,64.0,43.7,7.8,6
45,Kelvin Benjamin BUF,31.0,60.0,43.8,5.6,6
46,Kenny Stills MIA,31.0,72.0,44.6,8.7,6
47,Nelson Agholor PHI,28.0,55.0,44.2,5.2,6
48,Marqise Lee JAC,22.0,67.0,47.1,7.3,6
49,Allen Hurns DAL,30.0,84.0,51.0,10.9,7
50,Josh Doctson WAS,31.0,80.0,51.1,7.4,7
51,DeSean Jackson TB,35.0,71.0,51.5,6.0,7
52,Kenny Golladay DET,36.0,85.0,54.1,8.8,7
53,Dez Bryant FA,21.0,114.0,56.9,20.7,7
54,D.J. Moore CAR,19.0,81.0,55.3,10.5,7
55,Tyler Lockett SEA,37.0,88.0,58.2,11.2,7
56,Cameron Meredith NO,31.0,78.0,55.8,8.2,7
57,Calvin Ridley ATL,30.0,81.0,59.7,10.5,8
58,Mike Williams LAC,37.0,85.0,62.5,11.7,8
59,Mohamed Sanu ATL,31.0,88.0,59.4,8.9,8
60,Tyrell Williams LAC,38.0,87.0,63.8,12.1,8
61,Martavis Bryant OAK,42.0,84.0,61.6,9.0,8
62,Ted Ginn NO,41.0,96.0,60.8,8.5,8
63,Paul Richardson WAS,50.0,94.0,62.7,9.1,8
64,Dede Westbrook JAC,38.0,117.0,67.9,14.8,8
65,Michael Gallup DAL,38.0,100.0,64.2,10.9,8
66,Anthony Miller CHI,42.0,113.0,68.0,13.7,9
67,Christian Kirk ARI,26.0,101.0,72.1,12.3,9
68,Donte Moncrief JAC,35.0,100.0,69.0,11.2,9
69,Geronimo Allison GB,43.0,103.0,75.2,13.2,9
70,Jordan Matthews NE,46.0,140.0,73.1,16.1,9
71,Corey Coleman CLE,49.0,132.0,76.6,16.0,9
72,Chris Godwin TB,43.0,95.0,69.2,8.9,9
73,Keelan Cole JAC,52.0,102.0,75.5,12.9,10
74,Quincy Enunwa NYJ,45.0,102.0,72.0,10.4,10
75,Danny Amendola MIA,48.0,112.0,76.1,12.1,10
