Rank,Name,Best,Worst,Avg,Std Dev
1,Jacksonville Jaguars JAC,1.0,10.0,1.2,1.1
2,Minnesota Vikings MIN,1.0,7.0,2.7,1.1
3,Philadelphia Eagles PHI,2.0,9.0,3.9,1.3
4,Los Angeles Rams LAR,1.0,13.0,4.0,2.4
5,Los Angeles Chargers LAC,1.0,12.0,5.3,1.7
6,Houston Texans HOU,4.0,19.0,6.6,2.3
7,Denver Broncos DEN,2.0,26.0,7.3,3.4
8,Baltimore Ravens BAL,3.0,21.0,8.2,2.9
9,New Orleans Saints NO,4.0,17.0,10.2,2.6
10,New England Patriots NE,1.0,17.0,10.8,2.6
11,Carolina Panthers CAR,2.0,25.0,11.8,2.6
12,Pittsburgh Steelers PIT,2.0,21.0,12.5,3.2
13,Seattle Seahawks SEA,3.0,26.0,12.9,4.5
14,Chicago Bears CHI,8.0,25.0,14.7,3.0
15,Kansas City Chiefs KC,8.0,27.0,15.3,4.2
16,Atlanta Falcons ATL,5.0,21.0,15.3,2.8
17,Arizona Cardinals ARI,10.0,31.0,16.5,3.4
18,Green Bay Packers GB,5.0,29.0,18.7,4.2
19,New York Giants NYG,10.0,31.0,19.5,3.9
20,Cincinnati Bengals CIN,10.0,27.0,20.1,3.2
21,Tennessee Titans TEN,11.0,24.0,18.5,2.9
22,Detroit Lions DET,10.0,30.0,21.8,4.3
23,Buffalo Bills BUF,9.0,31.0,21.9,4.1
24,Tampa Bay Buccaneers TB,11.0,28.0,22.4,3.5
25,Dallas Cowboys DAL,8.0,31.0,23.7,5.1
26,Washington Redskins WAS,13.0,30.0,24.2,4.2
27,San Francisco 49ers SF,14.0,29.0,24.4,3.6
28,Cleveland Browns CLE,16.0,32.0,26.6,4.2
29,Oakland Raiders OAK,16.0,32.0,28.2,3.7
30,Miami Dolphins MIA,17.0,32.0,28.6,3.3
31,New York Jets NYJ,20.0,32.0,28.7,3.1
32,Indianapolis Colts IND,26.0,32.0,31.1,1.5
