Rank,Name,Best,Worst,Avg,Std Dev
1,Stephen Gostkowski NE,1.0,3.0,1.4,0.6
2,Justin Tucker BAL,1.0,13.0,2.7,1.7
3,Greg Zuerlein LAR,1.0,8.0,2.7,1.3
4,Matt Bryant ATL,2.0,9.0,4.7,1.7
5,Wil Lutz NO,3.0,12.0,5.8,1.8
6,Jake Elliott PHI,1.0,18.0,7.2,2.8
7,Matt Prater DET,4.0,18.0,7.7,2.6
8,Chris Boswell PIT,3.0,27.0,9.4,3.9
9,Harrison Butker KC,2.0,19.0,9.2,3.5
10,Dan Bailey DAL,3.0,29.0,10.1,4.2
11,Mason Crosby GB,5.0,28.0,10.9,3.4
12,Robbie Gould SF,4.0,28.0,13.1,4.3
13,Adam Vinatieri IND,9.0,25.0,14.1,3.5
14,Graham Gano CAR,9.0,23.0,14.1,2.6
15,Ryan Succop TEN,3.0,26.0,15.2,4.1
16,Kai Forbath MIN,4.0,34.0,14.6,4.7
17,Brandon McManus DEN,1.0,25.0,16.5,3.8
18,Josh Lambo JAC,8.0,25.0,17.1,4.3
19,Ka'imi Fairbairn HOU,11.0,24.0,18.0,3.1
20,Cairo Santos NYJ,2.0,32.0,20.2,5.9
21,Steven Hauschka BUF,4.0,31.0,20.4,4.6
22,Caleb Sturgis LAC,12.0,31.0,20.0,4.9
23,Daniel Carlson MIN,10.0,27.0,17.5,4.5
24,Phil Dawson ARI,5.0,30.0,21.3,4.9
25,Blair Walsh FA,1.0,35.0,19.5,9.6
26,Dustin Hopkins WAS,12.0,31.0,22.1,4.2
27,Chandler Catanzaro TB,13.0,31.0,23.6,4.2
28,Sebastian Janikowski SEA,16.0,32.0,23.0,3.7
29,Giorgio Tavecchio OAK,16.0,31.0,25.0,4.1
30,Cody Parkey CHI,16.0,33.0,26.0,4.4
31,Aldrick Rosas NYG,18.0,32.0,27.1,3.9
32,Randy Bullock CIN,19.0,32.0,27.5,3.3
33,Eddy Pineiro OAK,22.0,32.0,27.0,5.0
34,Zane Gonzalez CLE,23.0,33.0,29.5,2.8
35,Jason Sanders MIA,23.0,32.0,29.8,2.9
36,Roberto Aguayo LAC,21.0,36.0,30.7,6.8
37,Jason Myers SEA,26.0,34.0,31.0,3.6
38,Nick Folk FA,30.0,37.0,33.5,3.5
39,Nick Novak FA,33.0,34.0,33.5,0.5
40,Nick Rose FA,36.0,38.0,37.0,1.0
