Rank,Name,Best,Worst,Avg,Std Dev
1,Todd Gurley LAR,1.0,4.0,1.5,0.8
2,Le'Veon Bell PIT,1.0,5.0,2.2,0.9
3,Ezekiel Elliott DAL,1.0,7.0,3.1,1.1
4,David Johnson ARI,1.0,6.0,3.4,1.0
5,Alvin Kamara NO,3.0,11.0,6.1,1.5
6,Saquon Barkley NYG,3.0,10.0,6.4,1.6
7,Kareem Hunt KC,5.0,12.0,7.4,1.8
8,Leonard Fournette JAC,4.0,14.0,8.2,1.8
9,Melvin Gordon LAC,5.0,12.0,8.3,1.5
10,Dalvin Cook MIN,5.0,19.0,9.5,2.3
11,Devonta Freeman ATL,8.0,15.0,11.2,1.4
12,Jerick McKinnon SF,10.0,20.0,13.6,2.1
13,Jordan Howard CHI,10.0,35.0,14.0,3.4
14,Christian McCaffrey CAR,11.0,22.0,15.1,2.3
15,LeSean McCoy BUF,8.0,39.0,16.1,7.2
16,Joe Mixon CIN,12.0,23.0,16.2,2.4
17,Kenyan Drake MIA,8.0,34.0,19.2,4.6
18,Alex Collins BAL,13.0,32.0,19.5,4.1
19,Derrius Guice WAS,12.0,30.0,20.3,3.9
20,Jay Ajayi PHI,13.0,40.0,21.6,4.8
21,Rashaad Penny SEA,13.0,42.0,21.8,5.7
22,Derrick Henry TEN,13.0,31.0,21.8,4.1
23,Lamar Miller HOU,12.0,48.0,23.9,5.4
24,Mark Ingram NO,15.0,33.0,24.2,3.8
25,Ronald Jones II TB,15.0,60.0,25.7,6.3
26,Royce Freeman DEN,15.0,39.0,25.6,5.0
27,Dion Lewis TEN,20.0,47.0,26.5,4.6
28,Sony Michel NE,14.0,52.0,26.7,6.7
29,Marshawn Lynch OAK,20.0,57.0,29.6,6.4
30,Tevin Coleman ATL,20.0,42.0,29.9,4.1
31,Marlon Mack IND,21.0,52.0,33.1,6.1
32,Rex Burkhead NE,19.0,54.0,34.7,6.8
33,Jamaal Williams GB,24.0,54.0,35.3,6.3
34,Isaiah Crowell NYJ,26.0,57.0,35.7,5.8
35,Kerryon Johnson DET,23.0,50.0,35.8,5.4
36,C.J. Anderson CAR,25.0,52.0,36.2,5.8
37,Chris Thompson WAS,26.0,54.0,36.5,5.1
38,Carlos Hyde CLE,20.0,75.0,37.2,8.8
39,Duke Johnson CLE,19.0,52.0,37.0,5.2
40,Tarik Cohen CHI,18.0,60.0,39.3,6.2
41,Nick Chubb CLE,24.0,62.0,40.4,6.5
42,Aaron Jones GB,33.0,65.0,44.4,7.1
43,Devontae Booker DEN,35.0,62.0,45.9,6.7
44,Bilal Powell NYJ,33.0,69.0,48.2,8.9
45,D'Onta Foreman HOU,29.0,69.0,47.8,7.4
46,Ty Montgomery GB,31.0,65.0,47.4,6.6
47,Giovani Bernard CIN,40.0,65.0,47.8,6.3
48,Theo Riddick DET,36.0,73.0,48.8,6.2
49,Corey Clement PHI,29.0,87.0,50.8,9.6
50,James White NE,33.0,64.0,50.8,6.0
