Rank,Name,Best,Worst,Avg,Std Dev
1,Rob Gronkowski NE,1.0,3.0,1.2,0.5
2,Travis Kelce KC,1.0,3.0,2.0,0.4
3,Zach Ertz PHI,1.0,6.0,2.9,0.7
4,Greg Olsen CAR,3.0,8.0,5.2,1.2
5,Jimmy Graham GB,3.0,12.0,5.9,2.0
6,Evan Engram NYG,3.0,13.0,6.0,2.0
7,Delanie Walker TEN,4.0,12.0,6.7,1.6
8,Kyle Rudolph MIN,4.0,11.0,7.5,1.4
9,Trey Burton CHI,6.0,19.0,10.0,2.4
10,Jordan Reed WAS,4.0,21.0,10.4,2.8
11,Jack Doyle IND,5.0,25.0,13.0,4.2
12,George Kittle SF,9.0,20.0,12.9,2.8
13,David Njoku CLE,5.0,26.0,15.0,3.7
14,Tyler Eifert CIN,10.0,27.0,15.2,3.8
15,O.J. Howard TB,6.0,29.0,16.2,4.3
16,Cameron Brate TB,9.0,26.0,16.8,3.5
17,Eric Ebron IND,8.0,24.0,17.2,3.6
18,Charles Clay BUF,12.0,33.0,18.1,3.8
19,Jared Cook OAK,8.0,29.0,18.9,4.2
20,Austin Seferian-Jenkins JAC,10.0,30.0,19.0,4.6
21,Mike Gesicki MIA,6.0,43.0,23.8,6.3
22,Ricky Seals-Jones ARI,12.0,35.0,22.0,4.6
23,Vance McDonald PIT,11.0,38.0,21.9,4.7
24,Benjamin Watson NO,13.0,35.0,22.5,4.4
25,Austin Hooper ATL,13.0,29.0,22.1,3.5
26,Hayden Hurst BAL,11.0,47.0,28.0,6.0
27,Antonio Gates FA,17.0,59.0,33.4,10.1
28,Mark Andrews BAL,15.0,90.0,37.6,12.9
29,Luke Willson DET,17.0,44.0,30.3,5.0
30,Stephen Anderson HOU,17.0,114.0,36.1,14.2
31,Dallas Goedert PHI,17.0,59.0,36.4,8.5
32,Vernon Davis WAS,19.0,42.0,29.4,4.3
33,Tyler Kroft CIN,19.0,49.0,35.0,6.1
34,Ed Dickson SEA,20.0,56.0,30.6,6.4
35,Jake Butt DEN,20.0,52.0,31.7,5.7
36,Gerald Everett LAR,22.0,39.0,30.6,3.8
37,Ryan Griffin HOU,21.0,52.0,32.7,7.0
38,Adam Shaheen CHI,22.0,58.0,33.7,6.5
39,Virgil Green LAC,25.0,55.0,34.1,7.0
40,Nick Vannett SEA,26.0,51.0,35.2,5.4
41,Jesse James PIT,23.0,48.0,35.8,5.9
42,Tyler Higbee LAR,28.0,50.0,38.2,5.6
43,C.J. Fiedorowicz FA,23.0,54.0,38.5,12.0
44,Coby Fleener FA,28.0,53.0,40.3,8.3
45,Garrett Celek SF,29.0,52.0,41.2,6.4
46,Jonnu Smith TEN,23.0,54.0,41.4,7.2
47,Rico Gathers DAL,29.0,91.0,41.5,12.3
48,Clive Walford NYJ,26.0,70.0,41.6,9.6
49,Josh Hill NO,24.0,68.0,43.3,10.2
50,Michael Roberts DET,37.0,50.0,43.6,4.5
51,Blake Jarwin DAL,28.0,65.0,43.7,12.1
52,Marcedes Lewis GB,39.0,56.0,47.1,5.0
53,Jaylen Samuels PIT,25.0,122.0,47.3,26.7
54,Jeff Heuerman DEN,33.0,86.0,48.0,12.5
55,Jermaine Gresham ARI,36.0,72.0,48.1,10.1
56,Seth DeValve CLE,45.0,55.0,49.0,3.3
57,A.J. Derby MIA,38.0,61.0,49.2,7.1
58,Julius Thomas FA,35.0,60.0,49.4,8.7
59,Chris Herndon IV NYJ,34.0,75.0,50.1,14.9
60,Nick O'Leary BUF,38.0,63.0,50.6,7.0
61,Demetrius Harris KC,42.0,61.0,50.9,5.1
62,Dwayne Allen NE,39.0,63.0,51.4,7.1
63,Lance Kendricks GB,44.0,88.0,54.3,12.3
64,Niles Paul JAC,50.0,62.0,55.3,4.6
65,Geoff Swaim DAL,34.0,78.0,56.3,13.3
66,Dalton Schultz DAL,37.0,87.0,56.8,15.2
67,Nick Boyle BAL,37.0,78.0,58.5,14.9
68,Ian Thomas CAR,39.0,71.0,60.9,10.2
69,David Morgan MIN,53.0,68.0,61.2,5.7
70,Rhett Ellison NYG,55.0,74.0,62.0,7.3
71,Jordan Akins HOU,55.0,90.0,62.1,11.9
72,Eric Tomlinson NYJ,45.0,97.0,62.7,15.3
73,Sean Culkin LAC,50.0,70.0,62.8,7.0
74,Logan Paulsen ATL,39.0,92.0,64.0,16.4
75,Jordan Leggett NYJ,33.0,149.0,64.7,35.8
76,Lee Smith FA,55.0,73.0,65.0,6.8
77,Braedon Bowman LAC,44.0,99.0,65.4,23.3
