Rank,Name,Best,Worst,Avg,Std Dev
1,Antonio Brown PIT,1.0,4.0,1.1,0.5
2,DeAndre Hopkins HOU,1.0,12.0,2.3,1.5
3,Odell Beckham Jr. NYG,1.0,7.0,3.2,1.0
4,Julio Jones ATL,2.0,8.0,4.1,1.3
5,Michael Thomas NO,3.0,10.0,5.4,1.2
6,Keenan Allen LAC,3.0,10.0,6.3,1.4
7,A.J. Green CIN,4.0,9.0,6.9,1.0
8,Davante Adams GB,4.0,16.0,7.7,1.9
9,Mike Evans TB,5.0,18.0,10.0,2.5
10,Doug Baldwin SEA,6.0,20.0,11.2,2.3
11,T.Y. Hilton IND,8.0,27.0,11.9,3.5
12,Adam Thielen MIN,5.0,22.0,13.2,3.2
13,Tyreek Hill KC,5.0,29.0,13.8,3.8
14,Stefon Diggs MIN,10.0,26.0,15.1,3.4
15,Larry Fitzgerald ARI,10.0,28.0,16.7,3.6
16,Amari Cooper OAK,10.0,38.0,17.0,4.4
17,Alshon Jeffery PHI,11.0,25.0,17.9,3.1
18,Allen Robinson CHI,10.0,57.0,18.4,6.8
19,Demaryius Thomas DEN,7.0,28.0,18.6,3.8
20,Josh Gordon CLE,6.0,48.0,19.9,7.1
21,JuJu Smith-Schuster PIT,14.0,35.0,21.5,4.4
22,Golden Tate DET,15.0,33.0,21.8,3.0
23,Brandin Cooks LAR,10.0,35.0,22.4,5.1
24,Marvin Jones DET,9.0,39.0,22.7,4.5
25,Michael Crabtree BAL,17.0,38.0,27.3,4.4
26,Jarvis Landry CLE,16.0,43.0,27.8,5.8
27,Sammy Watkins KC,18.0,53.0,29.5,5.5
28,Corey Davis TEN,13.0,58.0,30.8,8.2
29,Chris Hogan NE,20.0,51.0,31.8,7.7
30,Devin Funchess CAR,20.0,47.0,31.8,5.8
31,Pierre Garcon SF,22.0,56.0,33.0,5.4
32,Robert Woods LAR,19.0,72.0,33.3,8.0
33,Emmanuel Sanders DEN,25.0,53.0,32.6,6.7
34,Cooper Kupp LAR,29.0,48.0,37.1,3.6
35,Robby Anderson NYJ,16.0,72.0,36.9,9.1
36,Devante Parker MIA,25.0,54.0,37.1,6.3
37,Jamison Crowder WAS,23.0,51.0,37.2,6.4
38,Randall Cobb GB,22.0,54.0,38.4,7.3
39,Marquise Goodwin SF,25.0,66.0,39.8,8.3
40,Will Fuller HOU,26.0,59.0,40.7,7.5
41,Julian Edelman NE,14.0,67.0,42.1,9.6
42,Sterling Shepard NYG,32.0,58.0,43.1,5.7
43,Jordy Nelson OAK,24.0,62.0,43.0,8.5
44,Kelvin Benjamin BUF,31.0,60.0,43.8,5.6
45,Rishard Matthews TEN,21.0,64.0,43.8,7.7
46,Kenny Stills MIA,31.0,72.0,44.6,8.7
47,Nelson Agholor PHI,28.0,55.0,44.1,5.2
48,Marqise Lee JAC,22.0,67.0,47.1,7.3
49,Allen Hurns DAL,30.0,84.0,51.0,10.9
50,Josh Doctson WAS,31.0,80.0,51.5,7.3
51,DeSean Jackson TB,35.0,71.0,51.5,6.0
52,Kenny Golladay DET,35.0,85.0,54.1,8.8
53,Dez Bryant FA,21.0,114.0,56.9,20.7
54,D.J. Moore CAR,19.0,81.0,55.3,10.5
55,Tyler Lockett SEA,37.0,88.0,58.2,11.2
56,Cameron Meredith NO,31.0,78.0,55.8,8.2
57,Calvin Ridley ATL,30.0,81.0,59.7,10.5
58,Mike Williams LAC,37.0,85.0,62.5,11.7
59,Mohamed Sanu ATL,31.0,88.0,59.3,8.9
60,Tyrell Williams LAC,38.0,87.0,63.8,12.1
61,Martavis Bryant OAK,42.0,84.0,61.6,9.0
62,Ted Ginn NO,41.0,96.0,60.8,8.5
63,Paul Richardson WAS,50.0,94.0,62.6,9.1
64,Dede Westbrook JAC,38.0,117.0,67.9,14.8
65,Michael Gallup DAL,38.0,100.0,64.2,10.9
66,Anthony Miller CHI,42.0,113.0,68.0,13.7
67,Christian Kirk ARI,26.0,101.0,72.1,12.3
68,Donte Moncrief JAC,35.0,100.0,69.0,11.2
69,Geronimo Allison GB,43.0,103.0,75.2,13.2
70,Jordan Matthews NE,46.0,140.0,73.1,16.1
71,Corey Coleman CLE,49.0,132.0,76.6,16.0
72,Chris Godwin TB,43.0,95.0,69.2,8.9
73,Keelan Cole JAC,52.0,102.0,75.5,12.9
74,Quincy Enunwa NYJ,45.0,102.0,72.0,10.4
75,Danny Amendola MIA,48.0,112.0,76.1,12.1
76,Cole Beasley DAL,44.0,109.0,82.5,13.3
77,Jermaine Kearse NYJ,40.0,100.0,74.4,11.0
78,John Brown BAL,50.0,99.0,72.0,8.5
79,Mike Wallace PHI,55.0,93.0,68.9,7.8
80,Terrance Williams DAL,50.0,120.0,79.0,14.8
81,Dontrelle Inman FA,41.0,148.0,100.6,26.8
82,Curtis Samuel CAR,42.0,153.0,97.7,17.9
83,Courtland Sutton DEN,53.0,128.0,83.6,13.6
84,Trent Taylor SF,43.0,125.0,88.5,13.1
85,Equanimeous St. Brown GB,47.0,157.0,100.9,25.5
86,Terrelle Pryor NYJ,54.0,124.0,78.9,13.7
87,John Ross CIN,44.0,113.0,86.5,12.6
88,J.J. Nelson ARI,45.0,126.0,86.9,13.9
89,Brice Butler ARI,48.0,121.0,91.5,14.3
90,Jakeem Grant MIA,49.0,159.0,102.3,23.1
91,Taylor Gabriel CHI,50.0,117.0,89.6,10.1
92,Brandon Marshall SEA,51.0,118.0,87.8,15.7
93,Willie Snead BAL,52.0,103.0,87.3,9.5
94,Chester Rogers IND,53.0,118.0,89.3,12.9
95,James Washington PIT,59.0,114.0,82.0,11.8
96,Ryan Grant IND,55.0,113.0,84.8,13.2
97,Travis Benjamin LAC,59.0,119.0,88.7,15.3
98,Albert Wilson MIA,62.0,98.0,80.7,10.0
99,Zay Jones BUF,63.0,116.0,83.3,9.7
100,Brandon LaFell CIN,63.0,111.0,88.1,14.0
101,Taywan Taylor TEN,70.0,114.0,88.2,9.0
102,Dante Pettis SF,69.0,118.0,88.3,10.0
103,Jeremy Maclin FA,61.0,147.0,91.9,18.0
104,Torrey Smith CAR,76.0,119.0,93.6,10.6
105,Kendall Wright MIN,74.0,114.0,93.6,9.4
106,Tavon Austin DAL,68.0,127.0,95.7,15.0
107,Eric Decker FA,79.0,144.0,98.4,15.8
108,Tre'Quan Smith NO,64.0,139.0,98.5,18.8
109,Jaron Brown SEA,71.0,139.0,98.9,12.3
110,Malcolm Mitchell NE,76.0,158.0,100.7,16.1
111,Kevin White CHI,61.0,138.0,101.3,20.2
112,J'Mon Moore GB,66.0,152.0,103.6,23.5
113,Adam Humphries TB,64.0,134.0,104.3,14.8
114,Keke Coutee HOU,72.0,164.0,104.5,24.5
115,Chad Williams ARI,77.0,138.0,104.6,17.3
116,Kenny Britt NE,82.0,150.0,106.3,19.5
117,Bruce Ellington HOU,86.0,123.0,107.2,12.4
118,Chris Conley KC,90.0,141.0,108.7,12.8
119,Carlos Henderson DEN,82.0,148.0,109.2,16.7
120,D.J. Chark JAC,76.0,140.0,109.6,14.5
121,Laquon Treadwell MIN,87.0,136.0,110.5,10.6
122,Amara Darboh SEA,91.0,168.0,110.7,19.0
123,Tyler Boyd CIN,84.0,147.0,111.0,14.8
124,Jeremy Kerley BUF,83.0,197.0,112.4,27.0
125,Seth Roberts OAK,96.0,146.0,112.5,16.0
126,Roger Lewis NYG,96.0,143.0,112.5,12.0
127,Demarcus Robinson KC,89.0,136.0,113.4,15.5
128,Mack Hollins PHI,79.0,150.0,113.6,14.7
129,Brandon Coleman NO,90.0,133.0,114.4,14.6
130,Josh Reynolds LAR,89.0,149.0,116.4,16.0
131,Antonio Callaway CLE,69.0,185.0,117.1,30.4
132,TJ Jones DET,91.0,176.0,117.1,22.7
133,Andre Holmes BUF,96.0,157.0,117.7,16.6
134,Deon Cain IND,89.0,148.0,118.3,18.8
