Rank,Name,Team,Pos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,PosRank
1,David Johnson*+,ARI,RB,25,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,328.0,1
2,Ezekiel Elliott*+,DAL,RB,21,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,293.0,2
3,LeSean McCoy*,BUF,RB,28,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,248.0,3
4,Aaron Rodgers*,GNB,QB,33,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,,0,382.0,1
5,DeMarco Murray*,TEN,RB,28,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,243.0,4
6,Le'Veon Bell*,PIT,RB,24,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,242.0,5
7,Devonta Freeman*,ATL,RB,24,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,232.0,6
8,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,226.0,7
9,Matt Ryan*+,ATL,QB,31,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,,0,355.0,2
10,Mike Evans*,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,173,96,1321,13.76,12,208.0,1
11,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,,0,152,97,1257,12.96,14,208.0,2
12,Antonio Brown*+,PIT,WR,28,15,15,0,0,0,0,0,3,9,3.0,0,154,106,1284,12.11,12,207.0,3
13,Melvin Gordon*,SDG,RB,23,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,210.0,8
14,Jordan Howard*,CHI,RB,22,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,201.0,9
15,Odell Beckham*,NYG,WR,24,16,16,0,0,0,0,0,1,9,9.0,0,169,101,1367,13.53,10,196.0,4
16,Drew Brees*,NOR,QB,37,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,,0,336.0,3
17,Mark Ingram,NOR,RB,27,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,198.0,10
18,T.Y. Hilton*,IND,WR,27,16,16,0,0,0,0,0,0,0,,0,155,91,1448,15.91,6,185.0,5
19,Jay Ajayi*,MIA,RB,23,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,188.0,11
20,Julio Jones*+,ATL,WR,27,14,14,0,0,0,0,0,0,0,,0,129,83,1409,16.98,6,179.0,6
21,Travis Kelce*+,KAN,TE,27,16,15,0,0,0,0,0,1,-5,-5.0,0,117,85,1125,13.24,4,138.0,1
22,Davante Adams,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,174.0,7
23,Frank Gore,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.9,4,47,38,277,7.29,4,176.0,12
24,Latavius Murray,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8.0,0,175.0,13
25,Brandin Cooks,NOR,WR,23,16,12,0,0,0,0,0,6,30,5.0,0,117,78,1173,15.04,8,168.0,8
26,Greg Olsen*,CAR,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,131.0,2
27,Andrew Luck,IND,QB,27,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,,0,310.0,4
