Rank,Name,Team,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,FantPt,Year
1,Jamaal Charles*+,KAN,27.0,15,15.0,259,1287,4.97,12,308.0,2013
2,LeSean McCoy*+,PHI,25.0,16,16.0,314,1607,5.12,9,279.0,2013
3,Matt Forte*,CHI,28.0,16,16.0,289,1339,4.63,9,265.0,2013
4,Marshawn Lynch*,SEA,27.0,16,16.0,301,1257,4.18,12,239.0,2013
5,Knowshon Moreno,DEN,26.0,16,15.0,241,1038,4.31,10,237.0,2013
6,Eddie Lacy*,GNB,23.0,15,15.0,284,1178,4.15,11,208.0,2013
7,DeMarco Murray*,DAL,25.0,14,14.0,217,1121,5.17,9,205.0,2013
8,Adrian Peterson*,MIN,28.0,14,14.0,279,1266,4.54,10,204.0,2013
9,Chris Johnson,TEN,28.0,16,16.0,279,1077,3.86,6,198.0,2013
10,Fred Jackson,BUF,32.0,16,6.0,206,890,4.32,9,188.0,2013
11,Reggie Bush,DET,28.0,14,14.0,223,1006,4.51,4,185.0,2013
12,Ryan Mathews,SDG,26.0,16,14.0,285,1255,4.4,6,184.0,2013
13,Frank Gore*,SFO,30.0,16,16.0,276,1128,4.09,9,175.0,2013
14,Le'Veon Bell,PIT,21.0,13,13.0,244,860,3.52,8,172.0,2013
15,Alfred Morris*,WAS,25.0,16,16.0,276,1275,4.62,7,169.0,2013
16,Giovani Bernard,CIN,22.0,16,0.0,170,695,4.09,5,167.0,2013
17,Joique Bell,DET,27.0,16,4.0,166,650,3.92,8,164.0,2013
18,Zac Stacy,STL,22.0,14,12.0,250,973,3.89,7,157.0,2013
19,Danny Woodhead,SDG,28.0,16,2.0,106,429,4.05,2,147.0,2013
20,Maurice Jones-Drew,JAX,28.0,15,15.0,234,803,3.43,5,144.0,2013
21,Rashad Jennings,OAK,28.0,15,8.0,163,733,4.5,6,139.0,2013
22,DeAngelo Williams,CAR,30.0,15,15.0,201,843,4.19,3,138.0,2013
23,Pierre Thomas,NOR,29.0,16,9.0,147,549,3.73,2,136.0,2013
24,Andre Ellington,ARI,24.0,15,1.0,118,652,5.53,3,126.0,2013
25,Rashard Mendenhall,ARI,26.0,15,15.0,217,687,3.17,8,126.0,2013
26,Donald Brown,IND,26.0,16,5.0,102,537,5.26,6,123.0,2013
27,C.J. Spiller,BUF,26.0,15,10.0,202,933,4.62,2,122.0,2013
28,Ray Rice,BAL,26.0,15,15.0,214,660,3.08,4,120.0,2013
29,Stevan Ridley,NWE,24.0,14,6.0,178,773,4.34,7,120.0,2013
30,LeGarrette Blount,NWE,27.0,16,7.0,153,772,5.05,7,119.0,2013
31,BenJarvus Green-Ellis,CIN,28.0,16,16.0,220,756,3.44,7,116.0,2013
32,Steven Jackson,ATL,30.0,12,12.0,157,543,3.46,6,115.0,2013
33,Ben Tate,HOU,25.0,14,7.0,181,771,4.26,4,111.0,2013
34,Trent Richardson,2TM,23.0,16,10.0,188,563,2.99,3,110.0,2013
35,Bilal Powell,NYJ,25.0,16,11.0,176,697,3.96,1,104.0,2013
37,Chris Ivory,NYJ,25.0,15,6.0,182,833,4.58,3,102.0,2013
36,Darren Sproles,NOR,30.0,15,4.0,53,220,4.15,2,102.0,2013
38,Lamar Miller,MIA,22.0,16,15.0,177,709,4.01,2,98.0,2013
39,Mike Tolbert*+,CAR,28.0,16,13.0,101,361,3.57,5,97.0,2013
40,Bobby Rainey,2TM,26.0,15,6.0,150,566,3.77,5,95.0,2013
41,Shane Vereen,NWE,24.0,8,1.0,44,208,4.73,1,92.0,2013
42,Jacquizz Rodgers,ATL,23.0,15,4.0,96,332,3.46,2,89.0,2013
43,Montee Ball,DEN,23.0,16,0.0,120,559,4.66,4,88.0,2013
44,Arian Foster,HOU,27.0,8,8.0,121,542,4.48,1,87.0,2013
45,Daniel Thomas,MIA,26.0,15,1.0,109,406,3.72,4,83.0,2013
46,James Starks,GNB,27.0,13,1.0,89,493,5.54,3,82.0,2013
47,Darren McFadden,OAK,26.0,10,7.0,114,379,3.32,5,81.0,2013
48,Marcel Reece*,OAK,28.0,16,15.0,46,218,4.74,2,80.0,2013
49,Roy Helu,WAS,25.0,16,0.0,62,274,4.42,4,77.0,2013
50,Andre Brown,NYG,27.0,8,8.0,139,492,3.54,3,74.0,2013
51,Chris Ogbonnaya,CLE,27.0,16,7.0,49,240,4.9,0,68.0,2013
52,Bernard Pierce,BAL,23.0,16,1.0,152,436,2.87,2,66.0,2013
53,Jason Snelling,ATL,30.0,14,1.0,44,164,3.73,1,62.0,2013
54,Brandon Bolden,NWE,23.0,12,2.0,55,271,4.93,3,60.0,2013
55,Shonn Greene,TEN,28.0,11,0.0,77,295,3.83,4,57.0,2013
56,Doug Martin,TAM,24.0,6,6.0,127,456,3.59,1,56.0,2013
57,Jordan Todman,JAX,23.0,16,2.0,76,256,3.37,2,55.0,2013
58,Bryce Brown,PHI,22.0,16,1.0,75,314,4.19,2,54.0,2013
59,Knile Davis,KAN,22.0,16,1.0,70,242,3.46,4,54.0,2013
61,Kendall Hunter,SFO,25.0,16,0.0,78,358,4.59,3,53.0,2013
60,Mark Ingram,NOR,24.0,11,3.0,78,386,4.95,1,53.0,2013
62,Willis McGahee,CLE,32.0,12,6.0,138,377,2.73,2,50.0,2013
63,Michael Bush,CHI,29.0,15,0.0,63,197,3.13,3,49.0,2013
64,Toby Gerhart,MIN,26.0,14,0.0,36,283,7.86,2,47.0,2013
