Rank,Name,Team,Age,G,GS,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,Year
1,Vernon Davis*,SFO,29.0,15,15.0,84.0,52,850,16.35,13,161.0,2013
2,Julius Thomas*,DEN,25.0,14,14.0,90.0,65,788,12.12,12,151.0,2013
3,Tony Gonzalez*,ATL,37.0,16,16.0,121.0,83,859,10.35,8,136.0,2013
4,Jordan Cameron*,CLE,25.0,15,14.0,118.0,80,917,11.46,7,134.0,2013
5,Jason Witten*,DAL,31.0,16,16.0,111.0,73,851,11.66,8,133.0,2013
6,Charles Clay,MIA,24.0,16,15.0,102.0,69,759,11.0,6,119.0,2013
7,Greg Olsen,CAR,28.0,16,16.0,111.0,73,816,11.18,6,118.0,2013
8,Antonio Gates,SDG,33.0,16,15.0,114.0,77,872,11.32,4,107.0,2013
9,Martellus Bennett,CHI,26.0,16,15.0,94.0,65,759,11.68,5,104.0,2013
10,Jared Cook,STL,26.0,16,13.0,85.0,51,671,13.16,5,97.0,2013
11,Delanie Walker,TEN,29.0,15,11.0,86.0,60,571,9.52,6,93.0,2013
12,Coby Fleener,IND,25.0,16,12.0,87.0,52,608,11.69,4,89.0,2013
13,Tim Wright,TAM,23.0,16,8.0,76.0,54,571,10.57,5,87.0,2013
14,Brent Celek,PHI,28.0,16,15.0,51.0,32,502,15.69,6,84.0,2013
16,Garrett Graham,HOU,27.0,13,11.0,89.0,49,545,11.12,5,83.0,2013
15,Rob Gronkowski,NWE,24.0,7,6.0,66.0,39,592,15.18,4,83.0,2013
18,Scott Chandler,BUF,28.0,16,7.0,81.0,53,655,12.36,2,76.0,2013
17,Brandon Myers,NYG,28.0,16,14.0,76.0,47,522,11.11,4,76.0,2013
19,Zach Ertz,PHI,23.0,16,3.0,57.0,36,469,13.03,4,73.0,2013
20,Jordan Reed,WAS,23.0,9,4.0,59.0,45,499,11.09,3,72.0,2013
21,Zach Miller,SEA,28.0,14,12.0,56.0,33,387,11.73,5,69.0,2013
22,Joseph Fauria,DET,23.0,16,2.0,30.0,18,207,11.5,7,67.0,2013
23,Mychal Rivera,OAK,23.0,16,3.0,60.0,38,407,10.71,4,65.0,2013
25,Jeff Cumberland,NYJ,26.0,15,12.0,40.0,26,398,15.31,4,64.0,2013
24,Jermaine Gresham,CIN,25.0,14,14.0,68.0,46,458,9.96,4,64.0,2013
26,Heath Miller,PIT,31.0,14,14.0,79.0,58,593,10.22,1,63.0,2013
27,Marcedes Lewis,JAX,29.0,11,11.0,47.0,25,359,14.36,4,58.0,2013
28,Tyler Eifert,CIN,23.0,15,15.0,60.0,39,445,11.41,2,57.0,2013
29,Ladarius Green,SDG,23.0,16,10.0,30.0,17,376,22.12,3,56.0,2013
30,Dallas Clark,BAL,34.0,12,0.0,52.0,31,343,11.06,3,52.0,2013
31,Brandon Pettigrew,DET,28.0,14,14.0,63.0,41,416,10.15,2,52.0,2013
32,Rob Housler,ARI,25.0,13,10.0,57.0,39,454,11.64,1,51.0,2013
33,Kellen Winslow,NYJ,30.0,12,3.0,47.0,31,388,12.52,2,51.0,2013
34,Lance Kendricks,STL,25.0,15,13.0,46.0,32,258,8.06,4,50.0,2013
35,Kyle Rudolph,MIN,24.0,8,8.0,46.0,30,313,10.43,3,49.0,2013
36,Jermichael Finley,GNB,26.0,6,5.0,34.0,25,300,12.0,3,48.0,2013
37,Andrew Quarless,GNB,25.0,16,10.0,53.0,32,312,9.75,2,47.0,2013
38,Owen Daniels,HOU,31.0,5,5.0,41.0,24,252,10.5,3,43.0,2013
39,Sean McGrath,KAN,26.0,16,9.0,40.0,26,302,11.62,2,42.0,2013
40,Logan Paulsen,WAS,26.0,16,14.0,50.0,28,267,9.54,3,41.0,2013
41,Clay Harbor,JAX,26.0,16,7.0,35.0,24,292,12.17,2,39.0,2013
42,John Carlson,MIN,29.0,13,8.0,48.0,32,344,10.75,1,38.0,2013
43,Anthony Fasano,KAN,29.0,9,9.0,33.0,23,200,8.7,3,38.0,2013
44,Ed Dickson,BAL,26.0,16,14.0,43.0,25,273,10.92,1,33.0,2013
45,Jim Dray,ARI,27.0,16,15.0,32.0,26,215,8.27,2,32.0,2013
46,Ryan Griffin,HOU,23.0,15,8.0,28.0,19,244,12.84,1,30.0,2013
48,Gary Barnidge,CLE,28.0,16,12.0,18.0,13,127,9.77,2,25.0,2013
47,Gavin Escobar,DAL,22.0,16,1.0,15.0,9,134,14.89,2,25.0,2013
49,Jacob Tamme,DEN,28.0,16,1.0,25.0,20,184,9.2,1,24.0,2013
50,Cory Harkey,STL,23.0,15,10.0,18.0,13,113,8.69,2,23.0,2013
51,Dennis Pitta,BAL,28.0,4,1.0,33.0,20,169,8.45,1,23.0,2013
53,Jake Ballard,ARI,26.0,8,3.0,9.0,7,75,10.71,2,20.0,2013
52,Michael Hoomanawanui,NWE,25.0,13,10.0,19.0,12,136,11.33,1,20.0,2013
54,Brandon Bostick,GNB,24.0,11,0.0,14.0,7,120,17.14,1,18.0,2013
55,Levine Toilolo,ATL,22.0,16,3.0,15.0,11,55,5.0,2,18.0,2013
57,Fred Davis,WAS,27.0,10,3.0,18.0,7,70,10.0,1,13.0,2013
56,Chase Ford,MIN,23.0,9,0.0,16.0,11,133,12.09,0,13.0,2013
59,Rhett Ellison,MIN,25.0,11,6.0,10.0,5,61,12.2,1,12.0,2013
60,Vance McDonald,SFO,23.0,15,4.0,19.0,8,119,14.88,0,12.0,2013
58,Danny Noble,JAX,24.0,8,1.0,3.0,2,63,31.5,1,12.0,2013
62,Joel Dreessen,DEN,31.0,13,0.0,9.0,7,47,6.71,1,11.0,2013
61,Chris Gragg,BUF,23.0,9,1.0,7.0,5,53,10.6,1,11.0,2013
63,Josh Hill,NOR,23.0,14,3.0,10.0,6,44,7.33,1,10.0,2013
64,Jeron Mastrud,OAK,26.0,16,12.0,13.0,6,88,14.67,0,9.0,2013
68,Dwayne Allen,IND,23.0,1,1.0,2.0,1,20,20.0,1,8.0,2013
67,Tom Crabtree,TAM,28.0,7,5.0,7.0,4,21,5.25,1,8.0,2013
69,Matthew Mulligan,NWE,28.0,15,4.0,3.0,2,16,8.0,1,8.0,2013
66,David Paulson,PIT,24.0,16,4.0,10.0,6,102,17.0,0,8.0,2013
65,Tony Scheffler,DET,30.0,5,1.0,12.0,7,82,11.71,0,8.0,2013
70,James Hanna,DAL,24.0,16,8.0,15.0,12,73,6.08,0,7.0,2013
74,Nick Kasa,OAK,23.0,16,1.0,5.0,1,9,9.0,1,7.0,2013
72,Alex Smith,CIN,31.0,16,1.0,6.0,3,12,4.0,1,7.0,2013
73,Matt Spaeth,PIT,30.0,4,2.0,2.0,1,11,11.0,1,7.0,2013
71,Taylor Thompson,TEN,24.0,16,3.0,7.0,3,13,4.33,1,7.0,2013
75,Zach Sudfeld,2TM,24.0,14,2.0,10.0,5,63,12.6,0,6.0,2013
76,MarQueis Gray,CLE,24.0,12,2.0,9.0,2,8,4.0,0,5.0,2013
78,Virgil Green,DEN,25.0,16,3.0,12.0,9,45,5.0,0,5.0,2013
77,Weslye Saunders,IND,24.0,6,1.0,11.0,4,46,11.5,0,5.0,2013
81,Kevin Brock,2TM,27.0,8,0.0,6.0,3,36,12.0,0,4.0,2013
80,Garrett Celek,SFO,25.0,12,1.0,4.0,2,38,19.0,0,4.0,2013
79,Allen Reisner,JAX,25.0,5,3.0,9.0,5,40,8.0,0,4.0,2013
85,James Casey,PHI,29.0,15,1.0,6.0,3,31,10.33,0,3.0,2013
83,Dorin Dickerson,DET,25.0,5,0.0,5.0,2,34,17.0,0,3.0,2013
84,Larry Donnell,NYG,25.0,16,1.0,6.0,3,31,10.33,0,3.0,2013
82,Dominique Jones,2TM,26.0,8,2.0,3.0,2,34,17.0,0,3.0,2013
86,John Phillips,SDG,26.0,15,6.0,6.0,4,30,7.5,0,3.0,2013
87,Ryan Taylor,GNB,26.0,14,1.0,9.0,6,30,5.0,0,3.0,2013
89,Billy Bajema,BAL,31.0,6,1.0,2.0,2,18,9.0,0,2.0,2013
88,Jack Doyle,IND,23.0,15,4.0,7.0,5,19,3.8,0,2.0,2013
90,Kory Sperry,ARI,28.0,8,2.0,1.0,1,16,16.0,0,2.0,2013
94,Henry Hynoski,NYG,25.0,3,2.0,2.0,1,5,5.0,0,1.0,2013
95,Mike McNeill,STL,25.0,14,0.0,1.0,1,5,5.0,0,1.0,2013
92,Michael Palmer,PIT,25.0,16,0.0,1.0,1,8,8.0,0,1.0,2013
93,Konrad Reuland,NYJ,26.0,10,0.0,3.0,1,7,7.0,0,1.0,2013
91,Dante Rosario,CHI,29.0,15,3.0,4.0,1,13,13.0,0,1.0,2013
96,Craig Stevens,TEN,29.0,15,14.0,6.0,2,5,2.5,0,1.0,2013
97,Justice Cunningham,2TM,22.0,2,0.0,1.0,1,4,4.0,0,,2013
98,Richard Gordon,KAN,26.0,2,0.0,1.0,1,3,3.0,0,,2013
99,Visanthe Shiancoe,TEN,33.0,1,1.0,2.0,2,2,1.0,0,,2013
119,Richie Brockel,CAR,27.0,16,0.0,1.0,1,12,12.0,0,-1.0,2013
1,Rob Gronkowski*+,NWE,25.0,15,10.0,131.0,82,1124,13.71,12,184.0,2014
